REPORTER COUNTRY,PARTNER COUNTRY,YEAR,IMPORT (US DOLLAR),EXPORT (US DOLLAR),GDP (NIGERIA),GDP (PARTNER),POPULATION (NIGERIA),POPULATION (PARTNER),DISTANCE,EXCHANGE RATE (NIGERIA),EXCHANGE RATE (PARTNER),LANDLOCKED,COMMON OFFICIAL LANGUAGE
NIGERIA,Kuwait,2002,100706,,95054059303,38135788414,129583026,2047364,4622,120.58,0.3,0,0
NIGERIA,Kuwait,2001,16536,,73557840064,34889559870,126152678,1991674,4622,111.23,0.31,0,0
NIGERIA,Kuwait,2000,,,69171451627,37718743480,122851984,1934901,4622,101.7,0.31,0,0
NIGERIA,Kuwait,1999,,,59145077039,30122365849,119695565,1877427,4622,92.34,0.3,0,0
NIGERIA,Kuwait,1998,,,2.18E+11,25943705784,116690527,1819544,4622,21.89,0.3,0,0
NIGERIA,Kuwait,1997,,,2.01E+11,30350190704,113791181,1761468,4622,21.89,0.3,0,0
NIGERIA,Kuwait,1996,,44017,1.86E+11,31492373309,110956183,1703318,4622,21.88,0.3,0,0
NIGERIA,Lebanon,2021,1480257.23,127786.94,4.41E+11,23131941557,213401323,5592631,3907,401.15,1507.5,0,0
NIGERIA,Lebanon,2020,8703247.48,127065.05,4.32E+11,31712128254,208327405,5662923,3907,358.81,1507.5,0,0
NIGERIA,Lebanon,2019,2695046.94,,4.75E+11,51605959131,203304492,5781907,3907,306.92,1507.5,0,0
NIGERIA,Lebanon,2018,1753046.54,65093.58,4.22E+11,54901519156,198387623,5950839,3907,306.08,1507.5,0,0
NIGERIA,Lebanon,2017,3880999.99,,3.76E+11,53027680686,193495907,6109252,3907,305.79,1507.5,0,0
NIGERIA,Lebanon,2016,1761924,,4.05E+11,51147308774,188666931,6258619,3907,253.49,1507.5,0,0
NIGERIA,Lebanon,2015,2096765.46,6.96,4.93E+11,49929337837,183995785,6398940,3907,192.44,1507.5,0,0
NIGERIA,Lebanon,2014,4895067,717773,5.74E+11,48095213747,179379016,6274342,3907,158.55,1507.5,0,0
NIGERIA,Lebanon,2013,18996094,9035020,5.20E+11,46880103081,174726123,5678851,3907,157.31,1507.5,0,0
NIGERIA,Lebanon,2012,8213999,244896,4.64E+11,44016799516,170075932,5178337,3907,157.5,1507.5,0,0
NIGERIA,Lebanon,2011,10272510,,4.14E+11,39927125962,165463745,5045056,3907,153.86,1507.5,0,0
NIGERIA,Lebanon,2010,5584087,187043,3.67E+11,38443907042,160952853,4995800,3907,150.3,1507.5,0,0
NIGERIA,Lebanon,2009,338295,130107,2.95E+11,35399582929,156595758,4951135,3907,148.88,1507.5,0,0
NIGERIA,Lebanon,2008,15937537,,3.39E+11,29118916105,152382506,4887613,3907,118.57,1507.5,0,0
NIGERIA,Lebanon,2007,33960710,107952,2.78E+11,24827355015,148294028,4809608,3907,125.81,1507.5,0,0
NIGERIA,Lebanon,2006,23832741,,2.38E+11,22022709851,144329764,4719864,3907,128.65,1507.5,0,0
NIGERIA,Lebanon,2005,,,1.76E+11,21497336499,140490722,4643044,3907,131.27,1507.5,0,0
NIGERIA,Lebanon,2004,,,1.36E+11,21159827992,136756848,4574797,3907,132.89,1507.5,0,0
NIGERIA,Lebanon,2003,65121,,1.05E+11,20082918740,133119801,4504807,3907,129.22,1507.5,0,0
NIGERIA,Lebanon,2002,606601,,95054059303,19152238806,129583026,4446666,3907,120.58,1507.5,0,0
NIGERIA,Lebanon,2001,162831,,73557840064,17649751244,126152678,4389200,3907,111.23,1507.5,0,0
NIGERIA,Lebanon,2000,157514,,69171451627,17260364842,122851984,4320642,3907,101.7,1507.5,0,0
NIGERIA,Lebanon,1999,130466,,59145077039,17391056369,119695565,4250020,3907,92.34,1507.5,0,0
NIGERIA,Lebanon,1998,268586,,2.18E+11,17247179006,116690527,4178784,3907,21.89,1516.13,0,0
NIGERIA,Lebanon,1997,131222,,2.01E+11,15751867489,113791181,4107551,3907,21.89,1539.45,0,0
NIGERIA,Lebanon,1996,298149,,1.86E+11,13690217334,110956183,4034243,3907,21.88,1571.44,0,0
NIGERIA,Liberia,2021,409.7,71933.5,4.41E+11,3509000000,213401323,5193416,2018,401.15,166.15,0,1
NIGERIA,Liberia,2020,,36234.64,4.32E+11,3039982500,208327405,5087584,2018,358.81,191.52,0,1
NIGERIA,Liberia,2019,134046.44,450656.14,4.75E+11,3319596500,203304492,4985289,2018,306.92,186.43,0,1
NIGERIA,Liberia,2018,1120733.68,22018.59,4.22E+11,3422754800,198387623,4889391,2018,306.08,144.06,0,1
NIGERIA,Liberia,2017,,106435.83,3.76E+11,3390703400,193495907,4796631,2018,305.79,112.71,0,1
NIGERIA,Liberia,2016,194604,31955,4.05E+11,3398419600,188666931,4706097,2018,253.49,94.43,0,1
NIGERIA,Liberia,2015,,124348.31,4.93E+11,3227075700,183995785,4612329,2018,192.44,86.19,0,1
NIGERIA,Liberia,2014,463690,53193,5.74E+11,3225652000,179379016,4519398,2018,158.55,83.89,0,1
NIGERIA,Liberia,2013,,608625,5.20E+11,3177198100,174726123,4427313,2018,157.31,77.52,0,1
NIGERIA,Liberia,2012,126722,,4.64E+11,2791614000,170075932,4331740,2018,157.5,73.51,0,1
NIGERIA,Liberia,2011,1822170,179360,4.14E+11,2398000000,165463745,4181150,2018,153.86,72.23,0,1
NIGERIA,Liberia,2010,2662,3376191,3.67E+11,1998000000,160952853,4019956,2018,150.3,71.4,0,1
NIGERIA,Liberia,2009,,88567,2.95E+11,1768000000,156595758,3905066,2018,148.88,68.29,0,1
NIGERIA,Liberia,2008,20047,8028,3.39E+11,1726000000,152382506,3783887,2018,118.57,63.21,0,1
NIGERIA,Liberia,2007,,75506,2.78E+11,1373000000,148294028,3632740,2018,125.81,61.27,0,1
NIGERIA,Liberia,2006,,,2.38E+11,1119000000,144329764,3455397,2018,128.65,58.01,0,1
NIGERIA,Liberia,2005,,,1.76E+11,949000000,140490722,3266318,2018,131.27,57.1,0,1
NIGERIA,Liberia,2004,,,1.36E+11,897000000,136756848,3122447,2018,132.89,54.91,0,1
NIGERIA,Liberia,2003,373207,,1.05E+11,748000000,133119801,3085173,2018,129.22,59.38,0,1
NIGERIA,Liberia,2002,,,95054059303,927000000,129583026,3060599,2018,120.58,61.75,0,1
NIGERIA,Liberia,2001,1205,,73557840064,906000000,126152678,2981648,2018,111.23,48.59,0,1
NIGERIA,Liberia,2000,11384,,69171451627,874000000,122851984,2895224,2018,101.7,40.9,0,1
NIGERIA,Liberia,1999,,,59145077039,,119695565,2789743,2018,92.34,41.9,0,1
NIGERIA,Liberia,1998,,,2.18E+11,,116690527,2639224,2018,21.89,41.51,0,1
NIGERIA,Liberia,1997,31765,,2.01E+11,,113791181,2383300,2018,21.89,50.57,0,1
NIGERIA,Liberia,1996,10076,,1.86E+11,,110956183,2203966,2018,21.88,46.84,0,1
NIGERIA,Malaysia,2021,42152219.28,128111578.3,4.41E+11,3.74E+11,213401323,33573874,10307,401.15,4.14,0,0
NIGERIA,Malaysia,2020,73394555.4,23630947.27,4.32E+11,3.37E+11,208327405,33199993,10307,358.81,4.2,0,0
NIGERIA,Malaysia,2019,36188686.97,17905522.41,4.75E+11,3.65E+11,203304492,32804020,10307,306.92,4.14,0,0
NIGERIA,Malaysia,2018,35571309.38,25376498.19,4.22E+11,3.59E+11,198387623,32399271,10307,306.08,4.04,0,0
NIGERIA,Malaysia,2017,29435173.28,23589929.73,3.76E+11,3.19E+11,193495907,31975806,10307,305.79,4.3,0,0
NIGERIA,Malaysia,2016,31824831,35308596,4.05E+11,3.01E+11,188666931,31526418,10307,253.49,4.15,0,0
NIGERIA,Malaysia,2015,27534440.03,9867822.4,4.93E+11,3.01E+11,183995785,31068833,10307,192.44,3.91,0,0
NIGERIA,Malaysia,2014,46397798,24757812,5.74E+11,3.38E+11,179379016,30606459,10307,158.55,3.27,0,0
NIGERIA,Malaysia,2013,51128391,182445627,5.20E+11,3.23E+11,174726123,30134807,10307,157.31,3.15,0,0
NIGERIA,Malaysia,2012,5136824,25446714,4.64E+11,3.14E+11,170075932,29660212,10307,157.5,3.09,0,0
NIGERIA,Malaysia,2011,13599492,16723721,4.14E+11,2.98E+11,165463745,29184133,10307,153.86,3.06,0,0
NIGERIA,Malaysia,2010,2777552,25460069,3.67E+11,2.55E+11,160952853,28717731,10307,150.3,3.22,0,0
NIGERIA,Malaysia,2009,2909467,,2.95E+11,2.02E+11,156595758,28217204,10307,148.88,3.52,0,0
NIGERIA,Malaysia,2008,5252718,19765818,3.39E+11,2.31E+11,152382506,27664296,10307,118.57,3.34,0,0
NIGERIA,Malaysia,2007,2503868,13658262,2.78E+11,1.94E+11,148294028,27092604,10307,125.81,3.44,0,0
NIGERIA,Malaysia,2006,632585,13716,2.38E+11,1.63E+11,144329764,26509413,10307,128.65,3.67,0,0
NIGERIA,Malaysia,2005,,,1.76E+11,1.44E+11,140490722,25923536,10307,131.27,3.79,0,0
NIGERIA,Malaysia,2004,,,1.36E+11,1.25E+11,136756848,25333247,10307,132.89,3.8,0,0
NIGERIA,Malaysia,2003,1014139,,1.05E+11,1.10E+11,133119801,24739411,10307,129.22,3.8,0,0
NIGERIA,Malaysia,2002,874314,,95054059303,1.01E+11,129583026,24142445,10307,120.58,3.8,0,0
NIGERIA,Malaysia,2001,756578,,73557840064,92783947368,126152678,23542517,10307,111.23,3.8,0,0
NIGERIA,Malaysia,2000,557759,,69171451627,93789736842,122851984,22945150,10307,101.7,3.8,0,0
NIGERIA,Malaysia,1999,2433129,3318,59145077039,79148421053,119695565,22368655,10307,92.34,3.8,0,0
NIGERIA,Malaysia,1998,917046,,2.18E+11,72167498981,116690527,21810542,10307,21.89,3.92,0,0
NIGERIA,Malaysia,1997,4016235,,2.01E+11,1.00E+11,113791181,21249178,10307,21.89,2.81,0,0
NIGERIA,Malaysia,1996,471369,,1.86E+11,1.01E+11,110956183,20689051,10307,21.88,2.52,0,0
NIGERIA,Mali,2021,,978249.5,4.41E+11,19309463506,213401323,21904983,1662,401.15,554.53,1,0
NIGERIA,Mali,2020,,37010.74,4.32E+11,17465392779,208327405,21224040,1662,358.81,575.59,1,0
NIGERIA,Mali,2019,,54966.94,4.75E+11,17280250805,203304492,20567424,1662,306.92,585.91,1,0
NIGERIA,Mali,2018,,91003.76,4.22E+11,17070867578,198387623,19934298,1662,306.08,555.45,1,0
NIGERIA,Mali,2017,,106328.41,3.76E+11,15365713059,193495907,19311355,1662,305.79,580.66,1,0
NIGERIA,Mali,2016,26198,38703,4.05E+11,14026048334,188666931,18700106,1662,253.49,592.61,1,0
NIGERIA,Mali,2015,,94523.64,4.93E+11,13104764379,183995785,18112907,1662,192.44,591.21,1,0
NIGERIA,Mali,2014,3251,69928,5.74E+11,14364937128,179379016,17551814,1662,158.55,493.76,1,0
NIGERIA,Mali,2013,246317,1265591,5.20E+11,13242690790,174726123,17004033,1662,157.31,493.9,1,0
NIGERIA,Mali,2012,,46198,4.64E+11,12442035328,170075932,16514687,1662,157.5,510.56,1,0
NIGERIA,Mali,2011,29032,11580340,4.14E+11,12995112698,165463745,16039734,1662,153.86,471.25,1,0
NIGERIA,Mali,2010,,,3.67E+11,10689168011,160952853,15529181,1662,150.3,494.79,1,0
NIGERIA,Mali,2009,1880513,,2.95E+11,10231962383,156595758,15032635,1662,148.88,470.29,1,0
NIGERIA,Mali,2008,,,3.39E+11,9838403091,152382506,14551117,1662,118.57,446,1,0
NIGERIA,Mali,2007,,,2.78E+11,8156468818,148294028,14080912,1662,125.81,478.63,1,0
NIGERIA,Mali,2006,2124429,,2.38E+11,6905934219,144329764,13623541,1662,128.65,522.43,1,0
NIGERIA,Mali,2005,,,1.76E+11,6247515892,140490722,13180551,1662,131.27,527.26,1,0
NIGERIA,Mali,2004,,,1.36E+11,5454249123,136756848,12751995,1662,132.89,527.34,1,0
NIGERIA,Mali,2003,,,1.05E+11,4714071978,133119801,12342165,1662,129.22,579.9,1,0
NIGERIA,Mali,2002,,,95054059303,3908121310,129583026,11952660,1662,120.58,693.71,1,0
NIGERIA,Mali,2001,171107,,73557840064,3468337941,126152678,11583824,1662,111.23,732.4,1,0
NIGERIA,Mali,2000,87814,,69171451627,2961484954,122851984,11239101,1662,101.7,710.21,1,0
NIGERIA,Mali,1999,,,59145077039,3440724708,119695565,10916993,1662,92.34,615.47,1,0
NIGERIA,Mali,1998,,,2.18E+11,2920358713,116690527,10620475,1662,21.89,589.95,1,0
NIGERIA,Mali,1997,,,2.01E+11,2697105822,113791181,10359301,1662,21.89,583.67,1,0
NIGERIA,Mali,1996,,,1.86E+11,2780422048,110956183,10131906,1662,21.88,511.55,1,0
NIGERIA,Mauritania,2021,57992705.53,39963.21,4.41E+11,9222536364,213401323,4614974,2484,401.15,36.06,0,0
NIGERIA,Mauritania,2020,62725114.52,222538.43,4.32E+11,8260752385,208327405,4498604,2484,358.81,37.19,0,0
NIGERIA,Mauritania,2019,67102444.01,,4.75E+11,7894764886,203304492,4383849,2484,306.92,36.69,0,0
NIGERIA,Mauritania,2018,65072880.83,12477.04,4.22E+11,7473550557,198387623,4270712,2484,306.08,35.68,0,0
NIGERIA,Mauritania,2017,47840555.59,,3.76E+11,6800135898,193495907,4160015,2484,305.79,35.79,0,0
NIGERIA,Mauritania,2016,52581368,,4.05E+11,6398747592,188666931,4051890,2484,253.49,35.24,0,0
NIGERIA,Mauritania,2015,97436149.87,41574.84,4.93E+11,6166863897,183995785,3946220,2484,192.44,32.47,0,0
NIGERIA,Mauritania,2014,102396828,624692,5.74E+11,6592537782,179379016,3843174,2484,158.55,30.27,0,0
NIGERIA,Mauritania,2013,34544566,8331656,5.20E+11,7223071097,174726123,3742959,2484,157.31,30.07,0,0
NIGERIA,Mauritania,2012,63444651,,4.64E+11,6728208836,170075932,3636113,2484,157.5,29.66,0,0
NIGERIA,Mauritania,2011,93311250,4596,4.14E+11,6764627746,165463745,3524249,2484,153.86,28.11,0,0
NIGERIA,Mauritania,2010,61383852,,3.67E+11,5628878798,160952853,3419461,2484,150.3,27.59,0,0
NIGERIA,Mauritania,2009,61039,,2.95E+11,4714595548,156595758,3322616,2484,148.88,26.24,0,0
NIGERIA,Mauritania,2008,21740974,,3.39E+11,5206437194,152382506,3233336,2484,118.57,23.82,0,0
NIGERIA,Mauritania,2007,16811181,7646,2.78E+11,4346212355,148294028,3153508,2484,125.81,25.86,0,0
NIGERIA,Mauritania,2006,38691734,,2.38E+11,3919577286,144329764,3081229,2484,128.65,26.86,0,0
NIGERIA,Mauritania,2005,,,1.76E+11,2936019526,140490722,3012360,2484,131.27,26.55,0,0
NIGERIA,Mauritania,2004,,,1.36E+11,2362501023,136756848,2946575,2484,132.89,,0,0
NIGERIA,Mauritania,2003,11521569,,1.05E+11,2051147607,133119801,2883326,2484,129.22,26.3,0,0
NIGERIA,Mauritania,2002,22068569,,95054059303,1777057481,129583026,2821703,2484,120.58,27.17,0,0
NIGERIA,Mauritania,2001,50561682,,73557840064,1746063558,126152678,2761823,2484,111.23,25.56,0,0
NIGERIA,Mauritania,2000,49500150,,69171451627,1779520886,122851984,2695003,2484,101.7,23.89,0,0
NIGERIA,Mauritania,1999,70416192,,59145077039,1985922776,119695565,2620611,2484,92.34,20.95,0,0
NIGERIA,Mauritania,1998,71523552,,2.18E+11,2032347665,116690527,2550501,2484,21.89,18.85,0,0
NIGERIA,Mauritania,1997,87180504,,2.01E+11,2071996564,113791181,2484278,2484,21.89,15.19,0,0
NIGERIA,Mauritania,1996,68808008,,1.86E+11,2132087009,110956183,2428816,2484,21.88,13.72,0,0
NIGERIA,Mauritius,2021,,,4.41E+11,11484357948,213401323,1298915,6263,401.15,41.69,0,1
NIGERIA,Mauritius,2020,50815.6,,4.32E+11,11408106446,208327405,1297828,6263,358.81,39.35,0,1
NIGERIA,Mauritius,2019,200442.7,,4.75E+11,14436346980,203304492,1296279,6263,306.92,35.47,0,1
NIGERIA,Mauritius,2018,401241.15,390448.67,4.22E+11,14735695931,198387623,1295381,6263,306.08,33.93,0,1
NIGERIA,Mauritius,2017,2117026.61,56060.18,3.76E+11,13713506131,193495907,1294741,6263,305.79,34.48,0,1
NIGERIA,Mauritius,2016,1941937,31118,4.05E+11,12594155464,188666931,1293911,6263,253.49,35.54,0,1
NIGERIA,Mauritius,2015,3425735.26,,4.93E+11,12007291046,183995785,1293153,6263,192.44,35.06,0,1
NIGERIA,Mauritius,2014,4065101,,5.74E+11,13074129952,179379016,1292113,6263,158.55,30.62,0,1
NIGERIA,Mauritius,2013,8175754,94388,5.20E+11,12292974141,174726123,1290691,6263,157.31,30.7,0,1
NIGERIA,Mauritius,2012,288352,,4.64E+11,11668696397,170075932,1288745,6263,157.5,30.05,0,1
NIGERIA,Mauritius,2011,,,4.14E+11,11518413430,165463745,1286236,6263,153.86,28.71,0,1
NIGERIA,Mauritius,2010,,,3.67E+11,10003670690,160952853,1283330,6263,150.3,30.78,0,1
NIGERIA,Mauritius,2009,,,2.95E+11,9128843109,156595758,1279868,6263,148.88,31.96,0,1
NIGERIA,Mauritius,2008,9552194,,3.39E+11,9990356674,152382506,1275684,6263,118.57,28.45,0,1
NIGERIA,Mauritius,2007,8996980,,2.78E+11,8150150209,148294028,1270584,6263,125.81,31.31,0,1
NIGERIA,Mauritius,2006,9235766,,2.38E+11,7028810681,144329764,1264767,6263,128.65,31.71,0,1
NIGERIA,Mauritius,2005,,,1.76E+11,6488743193,140490722,1258048,6263,131.27,29.5,0,1
NIGERIA,Mauritius,2004,,,1.36E+11,6578840419,136756848,1250380,6263,132.89,27.5,0,1
NIGERIA,Mauritius,2003,18971774,,1.05E+11,5816559039,133119801,1242340,6263,129.22,27.9,0,1
NIGERIA,Mauritius,2002,9619829,,95054059303,4841310240,129583026,1233972,6263,120.58,29.96,0,1
NIGERIA,Mauritius,2001,27169090,,73557840064,4613637275,126152678,1225272,6263,111.23,29.13,0,1
NIGERIA,Mauritius,2000,4634462,,69171451627,4663321081,122851984,1215930,6263,101.7,26.25,0,1
NIGERIA,Mauritius,1999,195829,,59145077039,4343708953,119695565,1205413,6263,92.34,25.19,0,1
NIGERIA,Mauritius,1998,,,2.18E+11,4169672975,116690527,1194880,6263,21.89,23.99,0,1
NIGERIA,Mauritius,1997,,,2.01E+11,4187375954,113791181,1184257,6263,21.89,21.06,0,1
NIGERIA,Mauritius,1996,1783148,,1.86E+11,4421952041,110956183,1172542,6263,21.88,17.95,0,1
NIGERIA,Mexico,2021,32403083.57,91980.83,4.41E+11,1.31E+12,213401323,126705138,11726,401.15,20.27,0,0
NIGERIA,Mexico,2020,25180465.46,922646.45,4.32E+11,1.12E+12,208327405,125998302,11726,358.81,21.49,0,0
NIGERIA,Mexico,2019,7810860.91,21194.8,4.75E+11,1.31E+12,203304492,125085311,11726,306.92,19.26,0,0
NIGERIA,Mexico,2018,3919751.09,418873.71,4.22E+11,1.26E+12,198387623,124013861,11726,306.08,19.24,0,0
NIGERIA,Mexico,2017,4382137.23,1055632.03,3.76E+11,1.19E+12,193495907,122839258,11726,305.79,18.93,0,0
NIGERIA,Mexico,2016,172980,5422741,4.05E+11,1.11E+12,188666931,121519221,11726,253.49,18.66,0,0
NIGERIA,Mexico,2015,11731650.15,2185615.09,4.93E+11,1.21E+12,183995785,120149897,11726,192.44,15.85,0,0
NIGERIA,Mexico,2014,622567,288113,5.74E+11,1.36E+12,179379016,118755887,11726,158.55,13.29,0,0
NIGERIA,Mexico,2013,8663281,2,5.20E+11,1.33E+12,174726123,117290686,11726,157.31,12.77,0,0
NIGERIA,Mexico,2012,,,4.64E+11,1.26E+12,170075932,115755909,11726,157.5,13.17,0,0
NIGERIA,Mexico,2011,,,4.14E+11,1.23E+12,165463745,114150481,11726,153.86,12.42,0,0
NIGERIA,Mexico,2010,,,3.67E+11,1.11E+12,160952853,112532401,11726,150.3,12.64,0,0
NIGERIA,Mexico,2009,,,2.95E+11,9.43E+11,156595758,111049428,11726,148.88,13.51,0,0
NIGERIA,Mexico,2008,1873716,5376015,3.39E+11,1.16E+12,152382506,109684489,11726,118.57,11.13,0,0
NIGERIA,Mexico,2007,1485445,5435572,2.78E+11,1.10E+12,148294028,108302973,11726,125.81,10.93,0,0
NIGERIA,Mexico,2006,,4095,2.38E+11,1.02E+12,144329764,106886790,11726,128.65,10.9,0,0
NIGERIA,Mexico,2005,,,1.76E+11,9.18E+11,140490722,105442402,11726,131.27,10.9,0,0
NIGERIA,Mexico,2004,,,1.36E+11,8.19E+11,136756848,103945813,11726,132.89,11.29,0,0
NIGERIA,Mexico,2003,2123795,,1.05E+11,7.66E+11,133119801,102429341,11726,129.22,10.79,0,0
NIGERIA,Mexico,2002,838952,,95054059303,8.11E+11,129583026,100917081,11726,120.58,9.66,0,0
NIGERIA,Mexico,2001,1189251,,73557840064,7.96E+11,126152678,99394288,11726,111.23,9.34,0,0
NIGERIA,Mexico,2000,1046898,,69171451627,7.42E+11,122851984,97873442,11726,101.7,9.46,0,0
NIGERIA,Mexico,1999,40135,,59145077039,6.31E+11,119695565,96334810,11726,92.34,9.56,0,0
NIGERIA,Mexico,1998,29392,,2.18E+11,5.57E+11,116690527,94767284,11726,21.89,9.14,0,0
NIGERIA,Mexico,1997,,,2.01E+11,5.23E+11,113791181,93183094,11726,21.89,7.92,0,0
NIGERIA,Mexico,1996,,,1.86E+11,4.32E+11,110956183,91586555,11726,21.88,7.6,0,0
NIGERIA,Morocco,2021,12474885.86,13282003.3,4.41E+11,1.42E+11,213401323,37076584,2996,401.15,8.99,0,0
NIGERIA,Morocco,2020,10696919.19,4474806.39,4.32E+11,1.21E+11,208327405,36688772,2996,358.81,9.5,0,0
NIGERIA,Morocco,2019,15492863.94,4855297.5,4.75E+11,1.29E+11,203304492,36304408,2996,306.92,9.62,0,0
NIGERIA,Morocco,2018,19707097.04,8945286.68,4.22E+11,1.27E+11,198387623,35927511,2996,306.08,9.39,0,0
NIGERIA,Morocco,2017,20267173.07,12029046.52,3.76E+11,1.19E+11,193495907,35528115,2996,305.79,9.69,0,0
NIGERIA,Morocco,2016,11517238,9446920,4.05E+11,1.12E+11,188666931,35107264,2996,253.49,9.81,0,0
NIGERIA,Morocco,2015,11145711.82,10754504.43,4.93E+11,1.10E+11,183995785,34680458,2996,192.44,9.76,0,0
NIGERIA,Morocco,2014,14532018,15540431,5.74E+11,1.19E+11,179379016,34248603,2996,158.55,8.41,0,0
NIGERIA,Morocco,2013,17339655,24221053,5.20E+11,1.16E+11,174726123,33803527,2996,157.31,8.41,0,0
NIGERIA,Morocco,2012,2151163,,4.64E+11,1.07E+11,170075932,33352169,2996,157.5,8.63,0,0
NIGERIA,Morocco,2011,,,4.14E+11,1.10E+11,165463745,32903699,2996,153.86,8.09,0,0
NIGERIA,Morocco,2010,,,3.67E+11,1.01E+11,160952853,32464865,2996,150.3,8.42,0,0
NIGERIA,Morocco,2009,,,2.95E+11,1.01E+11,156595758,32042877,2996,148.88,8.06,0,0
NIGERIA,Morocco,2008,3113500,1906315,3.39E+11,1.02E+11,152382506,31634992,2996,118.57,7.75,0,0
NIGERIA,Morocco,2007,3695936,3490649,2.78E+11,86947913287,148294028,31232633,2996,125.81,8.19,0,0
NIGERIA,Morocco,2006,2035712,123871,2.38E+11,75883823301,144329764,30833022,2996,128.65,8.8,0,0
NIGERIA,Morocco,2005,,,1.76E+11,68852658069,140490722,30431902,2996,131.27,8.87,0,0
NIGERIA,Morocco,2004,,,1.36E+11,66114145451,136756848,30033125,2996,132.89,8.87,0,0
NIGERIA,Morocco,2003,1881860,,1.05E+11,58029363354,133119801,29661270,2996,129.22,9.57,0,0
NIGERIA,Morocco,2002,535959,,95054059303,47077192188,129583026,29301817,2996,120.58,11.02,0,0
NIGERIA,Morocco,2001,544893,,73557840064,43831480208,126152678,28930097,2996,111.23,11.3,0,0
NIGERIA,Morocco,2000,978905,412242,69171451627,43017455402,122851984,28554415,2996,101.7,10.63,0,0
NIGERIA,Morocco,1999,1451441,291530,59145077039,46266428648,119695565,28176997,2996,92.34,9.8,0,0
NIGERIA,Morocco,1998,242642,244790,2.18E+11,46497608725,116690527,27791825,2996,21.89,9.6,0,0
NIGERIA,Morocco,1997,3015400,211901,2.01E+11,39147844526,113791181,27397118,2996,21.89,9.53,0,0
NIGERIA,Morocco,1996,3309365,732111,1.86E+11,43161571528,110956183,26999093,2996,21.88,8.72,0,0
NIGERIA,Netherlands,2021,305695912.6,234952811.1,4.41E+11,1.03E+12,213401323,17501696,4784,401.15,,0,0
NIGERIA,Netherlands,2020,460264389.8,163566867.5,4.32E+11,9.10E+11,208327405,17434557,4784,358.81,,0,0
NIGERIA,Netherlands,2019,328421158.3,140809570.3,4.75E+11,9.10E+11,203304492,17363262,4784,306.92,,0,0
NIGERIA,Netherlands,2018,312152281.7,205498018.9,4.22E+11,9.14E+11,198387623,17286042,4784,306.08,,0,0
NIGERIA,Netherlands,2017,377765458.1,109067763.8,3.76E+11,8.34E+11,193495907,17207198,4784,305.79,,0,0
NIGERIA,Netherlands,2016,325115657,152490748,4.05E+11,7.84E+11,188666931,17124505,4784,253.49,,0,0
NIGERIA,Netherlands,2015,375792948.5,468392366.7,4.93E+11,7.66E+11,183995785,17041107,4784,192.44,,0,0
NIGERIA,Netherlands,2014,671242918,537104316,5.74E+11,8.92E+11,179379016,16954081,4784,158.55,,0,0
NIGERIA,Netherlands,2013,414697391,1455424124,5.20E+11,8.77E+11,174726123,16867352,4784,157.31,,0,0
NIGERIA,Netherlands,2012,160671474,621899778,4.64E+11,8.39E+11,170075932,16785299,4784,157.5,,0,0
NIGERIA,Netherlands,2011,1403561984,71547088,4.14E+11,9.05E+11,165463745,16701472,4784,153.86,,0,0
NIGERIA,Netherlands,2010,107519606,269528079,3.67E+11,8.47E+11,160952853,16617117,4784,150.3,,0,0
NIGERIA,Netherlands,2009,52352285,62447757,2.95E+11,8.72E+11,156595758,16536208,4784,148.88,,0,0
NIGERIA,Netherlands,2008,164066238,133765976,3.39E+11,9.52E+11,152382506,16460770,4784,118.57,,0,0
NIGERIA,Netherlands,2007,504012178,143204638,2.78E+11,8.49E+11,148294028,16391232,4784,125.81,,0,0
NIGERIA,Netherlands,2006,252762319,722260,2.38E+11,7.34E+11,144329764,16325677,4784,128.65,,0,0
NIGERIA,Netherlands,2005,,,1.76E+11,6.85E+11,140490722,16261831,4784,131.27,,0,0
NIGERIA,Netherlands,2004,,,1.36E+11,6.58E+11,136756848,16196035,4784,132.89,,0,0
NIGERIA,Netherlands,2003,146103308,,1.05E+11,5.80E+11,133119801,16127579,4784,129.22,,0,0
NIGERIA,Netherlands,2002,130756107,187739,95054059303,4.74E+11,129583026,16057040,4784,120.58,,0,0
NIGERIA,Netherlands,2001,185845975,,73557840064,4.32E+11,126152678,15981636,4784,111.23,,0,0
NIGERIA,Netherlands,2000,104471937,1228258,69171451627,4.17E+11,122851984,15899135,4784,101.7,,0,0
NIGERIA,Netherlands,1999,157842144,7160909,59145077039,4.47E+11,119695565,15812487,4784,92.34,,0,0
NIGERIA,Netherlands,1998,145524304,7678327,2.18E+11,4.38E+11,116690527,15722594,4784,21.89,1.98,0,0
NIGERIA,Netherlands,1997,136286560,4760584,2.01E+11,4.17E+11,113791181,15629905,4784,21.89,1.95,0,0
NIGERIA,Netherlands,1996,148961328,37192680,1.86E+11,4.50E+11,110956183,15538616,4784,21.88,1.69,0,0
NIGERIA,"Norway,Sb,JM",2021,41798331.75,,4.41E+11,5.03E+11,213401323,5403021,5702,401.15,8.59,0,0
NIGERIA,"Norway,Sb,JM",2020,97922457.4,,4.32E+11,3.68E+11,208327405,5379839,5702,358.81,9.42,0,0
NIGERIA,"Norway,Sb,JM",2019,21407400.67,,4.75E+11,4.09E+11,203304492,5348279,5702,306.92,8.8,0,0
